customer_code,product_code,sales_qty,Sales_status
Cus025,Prod269,1,"Low sales"
Cus038,Prod047,1,"Low sales"
Cus031,Prod105,1,"Low sales"
Cus038,Prod041,1,"Low sales"
Cus038,Prod145,1,"Low sales"
Cus038,Prod165,1,"Low sales"
Cus038,Prod166,1,"Low sales"
Cus038,Prod043,1,"Low sales"
Cus038,Prod051,1,"Low sales"
Cus038,Prod049,1,"Low sales"
Cus038,Prod117,1,"Low sales"
Cus038,Prod081,1,"Low sales"
Cus038,Prod180,1,"Low sales"
Cus035,Prod146,1,"Low sales"
Cus035,Prod041,1,"Low sales"
Cus030,Prod278,1,"Low sales"
Cus024,Prod113,1,"Low sales"
Cus035,Prod054,1,"Low sales"
Cus035,Prod227,1,"Low sales"
Cus035,Prod047,1,"Low sales"
Cus035,Prod165,1,"Low sales"
Cus026,Prod055,1,"Low sales"
Cus026,Prod227,1,"Low sales"
Cus024,Prod276,1,"Low sales"
Cus024,Prod053,1,"Low sales"
Cus024,Prod278,1,"Low sales"
Cus024,Prod279,1,"Low sales"
Cus024,Prod263,1,"Low sales"
Cus024,Prod271,1,"Low sales"
Cus024,Prod056,1,"Low sales"
Cus024,Prod054,1,"Low sales"
Cus024,Prod264,1,"Low sales"
Cus024,Prod134,1,"Low sales"
Cus024,Prod117,1,"Low sales"
Cus024,Prod270,1,"Low sales"
Cus024,Prod269,1,"Low sales"
Cus024,Prod131,1,"Low sales"
Cus024,Prod055,1,"Low sales"
Cus024,Prod265,1,"Low sales"
Cus024,Prod105,1,"Low sales"
Cus024,Prod254,1,"Low sales"
Cus024,Prod057,1,"Low sales"
Cus035,Prod145,1,"Low sales"
Cus035,Prod229,1,"Low sales"
Cus035,Prod051,1,"Low sales"
Cus035,Prod199,1,"Low sales"
Cus035,Prod166,1,"Low sales"
Cus026,Prod120,1,"Low sales"
Cus035,Prod049,1,"Low sales"
Cus035,Prod043,1,"Low sales"
Cus035,Prod053,1,"Low sales"
Cus035,Prod180,1,"Low sales"
Cus035,Prod122,1,"Low sales"
Cus026,Prod121,1,"Low sales"
Cus035,Prod105,1,"Low sales"
Cus026,Prod056,1,"Low sales"
Cus035,Prod093,1,"Low sales"
Cus027,Prod065,1,"Low sales"
Cus027,Prod167,1,"Low sales"
Cus026,Prod105,1,"Low sales"
Cus027,Prod057,1,"Low sales"
Cus027,Prod145,1,"Low sales"
Cus027,Prod120,1,"Low sales"
Cus026,Prod100,1,"Low sales"
Cus026,Prod267,1,"Low sales"
Cus026,Prod271,1,"Low sales"
Cus027,Prod131,1,"Low sales"
Cus027,Prod121,1,"Low sales"
Cus027,Prod061,1,"Low sales"
Cus026,Prod065,1,"Low sales"
Cus026,Prod064,1,"Low sales"
Cus026,Prod054,1,"Low sales"
Cus026,Prod131,1,"Low sales"
Cus026,Prod270,1,"Low sales"
Cus026,Prod269,1,"Low sales"
Cus026,Prod053,1,"Low sales"
Cus027,Prod122,1,"Low sales"
Cus027,Prod134,1,"Low sales"
Cus027,Prod138,1,"Low sales"
Cus027,Prod090,1,"Low sales"
Cus027,Prod135,1,"Low sales"
Cus035,Prod167,1,"Low sales"
Cus035,Prod061,1,"Low sales"
Cus035,Prod266,1,"Low sales"
Cus035,Prod121,1,"Low sales"
Cus035,Prod168,1,"Low sales"
Cus035,Prod131,1,"Low sales"
Cus032,Prod266,1,"Low sales"
Cus032,Prod121,1,"Low sales"
Cus032,Prod244,1,"Low sales"
Cus032,Prod261,1,"Low sales"
Cus032,Prod135,1,"Low sales"
Cus032,Prod152,1,"Low sales"
Cus032,Prod140,1,"Low sales"
Cus032,Prod099,1,"Low sales"
Cus032,Prod133,1,"Low sales"
Cus032,Prod106,1,"Low sales"
Cus035,Prod110,1,"Low sales"
Cus035,Prod118,1,"Low sales"
Cus032,Prod110,1,"Low sales"
Cus032,Prod269,1,"Low sales"
Cus032,Prod065,1,"Low sales"
Cus032,Prod055,1,"Low sales"
Cus032,Prod262,1,"Low sales"
Cus032,Prod113,1,"Low sales"
Cus032,Prod089,1,"Low sales"
Cus032,Prod270,1,"Low sales"
Cus032,Prod267,1,"Low sales"
Cus032,Prod056,1,"Low sales"
Cus035,Prod133,1,"Low sales"
Cus028,Prod106,1,"Low sales"
Cus028,Prod167,1,"Low sales"
Cus028,Prod110,1,"Low sales"
Cus035,Prod065,1,"Low sales"
Cus034,Prod166,1,"Low sales"
Cus034,Prod105,1,"Low sales"
Cus034,Prod260,1,"Low sales"
Cus024,Prod120,1,"Low sales"
Cus024,Prod121,1,"Low sales"
Cus024,Prod267,1,"Low sales"
Cus024,Prod275,1,"Low sales"
Cus024,Prod065,1,"Low sales"
Cus036,Prod061,1,"Low sales"
Cus036,Prod065,1,"Low sales"
Cus032,Prod058,1,"Low sales"
Cus032,Prod131,1,"Low sales"
Cus032,Prod265,1,"Low sales"
Cus032,Prod134,1,"Low sales"
Cus032,Prod117,1,"Low sales"
Cus032,Prod105,1,"Low sales"
Cus032,Prod271,1,"Low sales"
Cus036,Prod180,1,"Low sales"
Cus036,Prod053,1,"Low sales"
Cus036,Prod043,1,"Low sales"
Cus036,Prod049,1,"Low sales"
Cus036,Prod166,1,"Low sales"
Cus036,Prod051,1,"Low sales"
Cus036,Prod165,1,"Low sales"
Cus036,Prod229,1,"Low sales"
Cus036,Prod047,1,"Low sales"
Cus036,Prod227,1,"Low sales"
Cus023,Prod221,1,"Low sales"
Cus036,Prod041,1,"Low sales"
Cus036,Prod054,1,"Low sales"
Cus036,Prod146,1,"Low sales"
Cus034,Prod241,1,"Low sales"
Cus024,Prod058,1,"Low sales"
Cus024,Prod227,1,"Low sales"
Cus024,Prod100,1,"Low sales"
Cus024,Prod064,1,"Low sales"
Cus034,Prod124,1,"Low sales"
Cus024,Prod079,1,"Low sales"
Cus024,Prod255,1,"Low sales"
Cus024,Prod039,1,"Low sales"
Cus024,Prod185,1,"Low sales"
Cus024,Prod101,1,"Low sales"
Cus034,Prod250,1,"Low sales"
Cus034,Prod134,1,"Low sales"
Cus034,Prod117,1,"Low sales"
Cus034,Prod113,1,"Low sales"
Cus034,Prod270,1,"Low sales"
Cus034,Prod255,1,"Low sales"
Cus034,Prod116,1,"Low sales"
Cus034,Prod114,1,"Low sales"
Cus034,Prod275,1,"Low sales"
Cus034,Prod271,1,"Low sales"
Cus034,Prod269,1,"Low sales"
Cus034,Prod267,1,"Low sales"
Cus034,Prod264,1,"Low sales"
Cus034,Prod263,1,"Low sales"
Cus034,Prod123,1,"Low sales"
Cus033,Prod129,1,"Low sales"
Cus033,Prod233,1,"Low sales"
Cus025,Prod261,1,"Low sales"
Cus025,Prod017,1,"Low sales"
Cus033,Prod135,1,"Low sales"
Cus033,Prod127,1,"Low sales"
Cus031,Prod159,1,"Low sales"
Cus025,Prod113,1,"Low sales"
Cus031,Prod040,1,"Low sales"
Cus031,Prod261,1,"Low sales"
Cus025,Prod121,1,"Low sales"
Cus029,Prod269,1,"Low sales"
Cus029,Prod113,1,"Low sales"
Cus029,Prod134,1,"Low sales"
Cus029,Prod263,1,"Low sales"
Cus025,Prod134,1,"Low sales"
Cus029,Prod264,1,"Low sales"
Cus029,Prod267,1,"Low sales"
Cus029,Prod270,1,"Low sales"
Cus029,Prod271,1,"Low sales"
Cus029,Prod278,1,"Low sales"
Cus029,Prod279,1,"Low sales"
Cus029,Prod123,1,"Low sales"
Cus029,Prod242,1,"Low sales"
Cus029,Prod265,1,"Low sales"
Cus029,Prod053,1,"Low sales"
Cus029,Prod095,1,"Low sales"
Cus029,Prod105,1,"Low sales"
Cus029,Prod275,1,"Low sales"
Cus029,Prod276,1,"Low sales"
Cus029,Prod117,1,"Low sales"
Cus029,Prod114,1,"Low sales"
Cus025,Prod131,1,"Low sales"
Cus029,Prod116,1,"Low sales"
Cus025,Prod120,1,"Low sales"
Cus025,Prod270,1,"Low sales"
Cus025,Prod053,1,"Low sales"
Cus025,Prod279,1,"Low sales"
Cus025,Prod271,1,"Low sales"
Cus033,Prod141,1,"Low sales"
Cus033,Prod159,1,"Low sales"
Cus033,Prod040,1,"Low sales"
Cus033,Prod187,1,"Low sales"
Cus033,Prod126,1,"Low sales"
Cus033,Prod113,1,"Low sales"
Cus033,Prod101,1,"Low sales"
Cus037,Prod065,1,"Low sales"
Cus029,Prod260,1,"Low sales"
Cus037,Prod145,1,"Low sales"
Cus037,Prod105,1,"Low sales"
Cus029,Prod057,1,"Low sales"
Cus029,Prod238,1,"Low sales"
Cus029,Prod250,1,"Low sales"
Cus029,Prod065,1,"Low sales"
Cus029,Prod120,1,"Low sales"
Cus029,Prod131,1,"Low sales"
Cus029,Prod255,1,"Low sales"
Cus029,Prod054,1,"Low sales"
Cus029,Prod124,1,"Low sales"
Cus023,Prod053,1,"Low sales"
Cus023,Prod134,1,"Low sales"
