date,markets_name,total_sales
2017-10-04,Ahmedabad,78
2017-10-04,Bhopal,20
2017-10-04,Hyderabad,4
2017-10-04,Kochi,22
2017-10-04,Mumbai,15
2017-10-05,Ahmedabad,149
2017-10-05,Bhopal,218
2017-10-05,"Delhi NCR",30
2017-10-05,Hyderabad,66
2017-10-05,Kochi,209
2017-10-05,Mumbai,272
2017-10-06,Ahmedabad,465
2017-10-06,Bhopal,68
2017-10-06,"Delhi NCR",117
2017-10-06,Hyderabad,533
2017-10-06,Kanpur,48
2017-10-06,Kochi,126
2017-10-06,Mumbai,104
2017-10-09,Ahmedabad,63
2017-10-09,Bhopal,2
2017-10-09,"Delhi NCR",1051
2017-10-09,Kochi,196
2017-10-09,Mumbai,1044
2017-10-09,Nagpur,38
2017-10-09,Patna,53
2017-10-10,Ahmedabad,32
2017-10-10,Bhopal,217
2017-10-10,Chennai,1006
2017-10-10,"Delhi NCR",696
2017-10-10,Hyderabad,6
2017-10-10,Kanpur,52
2017-10-10,Kochi,145
2017-10-10,Mumbai,484
2017-10-10,Nagpur,48
2017-10-10,Patna,67
2017-10-11,Ahmedabad,171
2017-10-11,Bhopal,80
2017-10-11,"Delhi NCR",1612
2017-10-11,Hyderabad,156
2017-10-11,Kanpur,22
2017-10-11,Kochi,289
2017-10-11,Mumbai,167
2017-10-11,Nagpur,131
2017-10-12,Ahmedabad,283
2017-10-12,"Delhi NCR",948
2017-10-12,Hyderabad,45
2017-10-12,Kochi,216
2017-10-12,Mumbai,246
2017-10-12,Nagpur,346
2017-10-12,Patna,28
2017-10-12,Surat,4
2017-10-13,Ahmedabad,265
2017-10-13,Bhopal,96
2017-10-13,"Delhi NCR",4193
2017-10-13,Hyderabad,231
2017-10-13,Kanpur,44
2017-10-13,Kochi,173
2017-10-13,Mumbai,227
2017-10-13,Nagpur,252
2017-10-15,Kochi,15
2017-10-16,Ahmedabad,150
2017-10-16,Bhopal,127
2017-10-16,"Delhi NCR",1356
2017-10-16,Hyderabad,16
2017-10-16,Kanpur,4
2017-10-16,Kochi,145
2017-10-16,Mumbai,362
2017-10-16,Nagpur,97
2017-10-17,Ahmedabad,64
2017-10-17,Bhopal,752
2017-10-17,"Delhi NCR",1550
2017-10-17,Hyderabad,2
2017-10-17,Kanpur,44
2017-10-17,Kochi,226
2017-10-17,Lucknow,714
2017-10-17,Mumbai,542
2017-10-17,Nagpur,216
2017-10-18,Ahmedabad,206
2017-10-18,Bhopal,675
2017-10-18,"Delhi NCR",1242
2017-10-18,Hyderabad,11
2017-10-18,Kochi,40
2017-10-18,Mumbai,7
2017-10-18,Nagpur,391
2017-10-19,Ahmedabad,467
2017-10-19,Bhopal,106
2017-10-19,"Delhi NCR",1259
2017-10-19,Hyderabad,161
2017-10-19,Kanpur,20
2017-10-19,Kochi,522
2017-10-19,Mumbai,282
2017-10-19,Nagpur,199
2017-10-20,Ahmedabad,535
2017-10-20,Bhopal,121
2017-10-20,Chennai,464
2017-10-20,"Delhi NCR",891
2017-10-20,Hyderabad,66
2017-10-20,Kanpur,54
2017-10-20,Kochi,57
2017-10-20,Mumbai,155
2017-10-20,Nagpur,140
2017-10-23,Ahmedabad,63
2017-10-23,Bhopal,31
2017-10-23,"Delhi NCR",3121
2017-10-23,Hyderabad,45
2017-10-23,Kochi,111
2017-10-23,Mumbai,489
2017-10-23,Nagpur,539
2017-10-23,Patna,53
2017-10-24,Ahmedabad,257
2017-10-24,Bhopal,69
2017-10-24,"Delhi NCR",2094
2017-10-24,Hyderabad,138
2017-10-24,Kanpur,93
2017-10-24,Kochi,577
2017-10-24,Mumbai,506
2017-10-24,Nagpur,193
2017-10-25,Ahmedabad,349
2017-10-25,Bhopal,97
2017-10-25,Chennai,123
2017-10-25,"Delhi NCR",2672
2017-10-25,Hyderabad,29
2017-10-25,Kanpur,10
2017-10-25,Kochi,2296
2017-10-25,Mumbai,194
2017-10-25,Nagpur,262
2017-10-25,Surat,26
2017-10-26,Ahmedabad,243
2017-10-26,Bhopal,362
2017-10-26,"Delhi NCR",577
2017-10-26,Hyderabad,99
2017-10-26,Kochi,70
2017-10-26,Mumbai,308
2017-10-26,Nagpur,236
2017-10-27,Ahmedabad,370
2017-10-27,Bhopal,97
2017-10-27,Bhubaneshwar,283
2017-10-27,Chennai,471
2017-10-27,"Delhi NCR",3255
2017-10-27,Hyderabad,78
2017-10-27,Kanpur,71
2017-10-27,Kochi,485
2017-10-27,Mumbai,218
2017-10-27,Nagpur,106
2017-10-30,Ahmedabad,172
2017-10-30,Bhopal,5
2017-10-30,"Delhi NCR",853
2017-10-30,Hyderabad,90
2017-10-30,Kanpur,12
2017-10-30,Kochi,442
2017-10-30,Mumbai,5991
2017-10-30,Nagpur,207
2017-10-30,Patna,99
2017-10-31,Ahmedabad,80
2017-10-31,Bhopal,64
2017-10-31,"Delhi NCR",51
2017-10-31,Hyderabad,1
2017-10-31,Kochi,468
2017-10-31,Lucknow,3333
2017-10-31,Mumbai,298
2017-10-31,Nagpur,241
2017-11-01,Ahmedabad,3
2017-11-01,"Delhi NCR",400
2017-11-01,Kanpur,28
2017-11-01,Mumbai,96
2017-11-02,Ahmedabad,218
2017-11-02,Bhopal,170
2017-11-02,"Delhi NCR",1882
2017-11-02,Hyderabad,110
2017-11-02,Kanpur,4
2017-11-02,Kochi,135
2017-11-02,Mumbai,909
2017-11-02,Nagpur,325
2017-11-02,Surat,13
2017-11-03,Ahmedabad,851
2017-11-03,Bhopal,151
2017-11-03,Chennai,78
2017-11-03,"Delhi NCR",3282
2017-11-03,Hyderabad,43
2017-11-03,Kanpur,114
2017-11-03,Kochi,919
2017-11-03,Mumbai,152
2017-11-03,Nagpur,412
2017-11-06,Ahmedabad,143
2017-11-06,Bhopal,17
2017-11-06,Chennai,503
2017-11-06,"Delhi NCR",736
2017-11-06,Hyderabad,30
2017-11-06,Kanpur,11
2017-11-06,Kochi,213
2017-11-06,Mumbai,940
2017-11-06,Nagpur,333
2017-11-06,Patna,23
2017-11-07,Ahmedabad,60
2017-11-07,Bhopal,59
2017-11-07,"Delhi NCR",961
2017-11-07,Hyderabad,29
2017-11-07,Kochi,2879
2017-11-07,Mumbai,604
2017-11-07,Nagpur,230
2017-11-08,Ahmedabad,224
2017-11-08,Bhopal,39
2017-11-08,"Delhi NCR",3291
2017-11-08,Kanpur,37
2017-11-08,Kochi,22
2017-11-08,Mumbai,223
2017-11-08,Nagpur,721
2017-11-08,Surat,6
2017-11-09,Ahmedabad,359
2017-11-09,Bhopal,302
2017-11-09,"Delhi NCR",914
2017-11-09,Hyderabad,70
2017-11-09,Kanpur,13
2017-11-09,Kochi,292
2017-11-09,Mumbai,137
2017-11-09,Nagpur,440
2017-11-10,Ahmedabad,302
2017-11-10,Bhopal,123
2017-11-10,"Delhi NCR",1347
2017-11-10,Hyderabad,245
2017-11-10,Kanpur,76
2017-11-10,Kochi,59
2017-11-10,Mumbai,5633
2017-11-10,Nagpur,196
2017-11-10,Patna,2
2017-11-13,Ahmedabad,139
2017-11-13,Bhopal,270
2017-11-13,"Delhi NCR",554
2017-11-13,Hyderabad,191
2017-11-13,Kanpur,12
2017-11-13,Kochi,31
2017-11-13,Mumbai,73
2017-11-13,Nagpur,482
2017-11-13,Patna,23
2017-11-14,Ahmedabad,77
2017-11-14,Bhopal,103
2017-11-14,Chennai,50
2017-11-14,"Delhi NCR",3466
2017-11-14,Hyderabad,74
2017-11-14,Kanpur,12
2017-11-14,Kochi,97
2017-11-14,Mumbai,470
2017-11-14,Nagpur,170
2017-11-14,Patna,4
2017-11-15,Ahmedabad,590
2017-11-15,Bhopal,54
2017-11-15,"Delhi NCR",1599
2017-11-15,Hyderabad,2
2017-11-15,Kochi,122
2017-11-15,Lucknow,73
2017-11-15,Mumbai,203
2017-11-15,Nagpur,501
2017-11-15,Patna,76
2017-11-15,Surat,26
2017-11-16,Ahmedabad,231
2017-11-16,Bhopal,88
2017-11-16,Chennai,140
2017-11-16,"Delhi NCR",2021
2017-11-16,Hyderabad,14
2017-11-16,Kanpur,24
2017-11-16,Kochi,128
2017-11-16,Mumbai,220
2017-11-16,Nagpur,361
2017-11-17,Ahmedabad,201
2017-11-17,Bhopal,107
2017-11-17,"Delhi NCR",1750
2017-11-17,Hyderabad,466
2017-11-17,Kanpur,62
2017-11-17,Kochi,180
2017-11-17,Mumbai,285
2017-11-17,Nagpur,304
2017-11-19,"Delhi NCR",7
2017-11-20,Ahmedabad,4546
2017-11-20,Bhopal,3
2017-11-20,"Delhi NCR",1921
2017-11-20,Hyderabad,1
2017-11-20,Kochi,76
2017-11-20,Mumbai,762
2017-11-20,Nagpur,397
2017-11-20,Patna,219
2017-11-21,Ahmedabad,118
2017-11-21,Bhopal,88
2017-11-21,Bhubaneshwar,410
2017-11-21,"Delhi NCR",1723
2017-11-21,Hyderabad,11
2017-11-21,Kochi,141
2017-11-21,Mumbai,577
2017-11-21,Nagpur,265
2017-11-21,Surat,7
2017-11-22,Ahmedabad,303
2017-11-22,Bhopal,522
2017-11-22,"Delhi NCR",1631
2017-11-22,Hyderabad,18
2017-11-22,Kanpur,68
2017-11-22,Kochi,292
2017-11-22,Mumbai,694
2017-11-22,Nagpur,148
2017-11-23,Ahmedabad,208
2017-11-23,Bhopal,155
2017-11-23,"Delhi NCR",1920
2017-11-23,Hyderabad,24
2017-11-23,Kanpur,8
2017-11-23,Kochi,181
2017-11-23,Lucknow,160
2017-11-23,Mumbai,164
2017-11-23,Nagpur,572
2017-11-24,Ahmedabad,406
2017-11-24,Bhopal,61
2017-11-24,"Delhi NCR",3156
2017-11-24,Hyderabad,201
2017-11-24,Kanpur,55
2017-11-24,Kochi,249
2017-11-24,Mumbai,219
2017-11-24,Nagpur,309
2017-11-27,Ahmedabad,120
2017-11-27,Bhopal,17
2017-11-27,"Delhi NCR",1175
2017-11-27,Hyderabad,89
2017-11-27,Kochi,110
2017-11-27,Mumbai,208
2017-11-27,Nagpur,431
2017-11-28,Ahmedabad,96
2017-11-28,Bhopal,143
2017-11-28,"Delhi NCR",2315
2017-11-28,Hyderabad,104
2017-11-28,Kanpur,49
2017-11-28,Kochi,2192
2017-11-28,Mumbai,686
2017-11-28,Nagpur,219
2017-11-29,Ahmedabad,308
2017-11-29,Bhopal,531
2017-11-29,"Delhi NCR",3398
2017-11-29,Hyderabad,40
2017-11-29,Kochi,130
2017-11-29,Mumbai,188
2017-11-29,Nagpur,374
2017-11-29,Patna,5
2017-11-29,Surat,71
2017-11-30,Ahmedabad,216
2017-11-30,Bhopal,308
2017-11-30,"Delhi NCR",1351
2017-11-30,Hyderabad,123
2017-11-30,Kanpur,12
2017-11-30,Kochi,190
2017-11-30,Mumbai,798
2017-11-30,Nagpur,190
2017-12-01,Ahmedabad,414
2017-12-01,Bhopal,151
2017-12-01,"Delhi NCR",813
2017-12-01,Hyderabad,95
2017-12-01,Kanpur,73
2017-12-01,Kochi,680
2017-12-01,Mumbai,429
2017-12-01,Nagpur,319
2017-12-01,Patna,8
2017-12-02,Hyderabad,1
2017-12-04,Ahmedabad,210
2017-12-04,Bhopal,38
2017-12-04,"Delhi NCR",1485
2017-12-04,Hyderabad,21
2017-12-04,Kanpur,16
2017-12-04,Kochi,1063
2017-12-04,Mumbai,351
2017-12-04,Nagpur,744
2017-12-05,Ahmedabad,194
2017-12-05,Bhopal,63
2017-12-05,"Delhi NCR",1399
2017-12-05,Hyderabad,17
2017-12-05,Kanpur,34
2017-12-05,Kochi,58
2017-12-05,Mumbai,498
2017-12-05,Nagpur,392
2017-12-05,Patna,76
2017-12-06,Ahmedabad,175
2017-12-06,Bhopal,7
2017-12-06,"Delhi NCR",1705
2017-12-06,Hyderabad,61
2017-12-06,Kanpur,19
2017-12-06,Kochi,1539
2017-12-06,Mumbai,133
2017-12-06,Nagpur,455
2017-12-06,Surat,3
2017-12-07,Ahmedabad,286
2017-12-07,Bhopal,108
2017-12-07,"Delhi NCR",2514
2017-12-07,Hyderabad,38
2017-12-07,Kanpur,64
2017-12-07,Kochi,573
2017-12-07,Mumbai,506
2017-12-07,Nagpur,601
2017-12-07,Patna,2
2017-12-08,Ahmedabad,439
2017-12-08,"Delhi NCR",1786
2017-12-08,Hyderabad,353
2017-12-08,Kanpur,9
2017-12-08,Kochi,323
2017-12-08,Mumbai,5426
2017-12-08,Nagpur,18
2017-12-09,Mumbai,53
2017-12-11,Ahmedabad,139
2017-12-11,Bhopal,177
2017-12-11,Chennai,247
2017-12-11,"Delhi NCR",1635
2017-12-11,Hyderabad,15
2017-12-11,Kanpur,25
2017-12-11,Kochi,75
2017-12-11,Mumbai,122
2017-12-11,Nagpur,183
2017-12-11,Patna,2
2017-12-12,Ahmedabad,130
2017-12-12,Bhopal,34
2017-12-12,"Delhi NCR",1981
2017-12-12,Hyderabad,24
2017-12-12,Kochi,531
2017-12-12,Mumbai,1996
2017-12-12,Nagpur,110
2017-12-13,Ahmedabad,168
2017-12-13,Bhopal,90
2017-12-13,Chennai,412
2017-12-13,"Delhi NCR",1975
2017-12-13,Hyderabad,16
2017-12-13,Kanpur,5
2017-12-13,Kochi,49
2017-12-13,Mumbai,518
2017-12-13,Nagpur,74
2017-12-14,Ahmedabad,665
2017-12-14,Bhopal,1354
2017-12-14,"Delhi NCR",1912
2017-12-14,Hyderabad,15
2017-12-14,Kanpur,50
2017-12-14,Kochi,104
2017-12-14,Lucknow,13
2017-12-14,Mumbai,370
